Gene name	Gene stable ID
AL136379.1	ENSG00000276255
TMEM116	ENSG00000198270
C11orf84	ENSG00000168005
AP003551.1	ENSG00000240870
IGSF9B	ENSG00000080854
SLC12A8	ENSG00000221955
AP001979.2	ENSG00000255258
NTM	ENSG00000182667
AP004372.1	ENSG00000271624
ZNF678	ENSG00000181450
AP002856.4	ENSG00000237612
AL160004.2	ENSG00000230331
NIPAL2	ENSG00000104361
AL391361.1	ENSG00000220913
ST14	ENSG00000149418
AC021079.1	ENSG00000280776
EPRS	ENSG00000136628
LGALS4	ENSG00000171747
AC016612.1	ENSG00000251591
RAB1B	ENSG00000174903
CBX3P4	ENSG00000256030
AC005911.1	ENSG00000278356
CACNA1C-IT3	ENSG00000256721
AC092471.2	ENSG00000283587
LINC01641	ENSG00000234277
AL606462.1	ENSG00000242757
AC007618.1	ENSG00000203648
LYST	ENSG00000143669
ISCA1P2	ENSG00000229840
AC108449.1	ENSG00000254129
HMGB1P23	ENSG00000253770
KCNJ5	ENSG00000120457
FAM196B	ENSG00000204767
POT1	ENSG00000128513
AP000920.1	ENSG00000255369
AC019155.3	ENSG00000224899
COX5BP8	ENSG00000223794
AC007163.1	ENSG00000230408
KIRREL3-AS2	ENSG00000254960
MAPKAPK5	ENSG00000089022
MAPKAPK5-AS1	ENSG00000234608
AC139491.1	ENSG00000248469
FAM153B	ENSG00000182230
AC004925.1	ENSG00000279419
TMEM229A	ENSG00000234224
LIMD2	ENSG00000136490
RPL22L1	ENSG00000163584
AP4M1	ENSG00000221838
AP001893.3	ENSG00000254833
MRGPRF-AS1	ENSG00000256508
AC245100.6	ENSG00000238107
LINC01138	ENSG00000274020
AC245100.2	ENSG00000225871
MYRF	ENSG00000124920
AC122713.2	ENSG00000278965
HOXB13	ENSG00000159184
AC090198.1	ENSG00000253106
AC009994.1	ENSG00000271779
LINC02086	ENSG00000244649
AC103702.2	ENSG00000272763
AC091179.3	ENSG00000244559
AC091179.1	ENSG00000242067
MAD1L1	ENSG00000002822
HMGB3P16	ENSG00000248430
EFCAB1	ENSG00000034239
AC211486.1	ENSG00000146722
AL512326.3	ENSG00000234041
AC011396.2	ENSG00000250025
ATPAF2	ENSG00000171953
PFN1P4	ENSG00000225080
AC010182.1	ENSG00000257611
GABRA6	ENSG00000145863
RCC1L	ENSG00000274523
AC104463.1	ENSG00000225620
AC099336.1	ENSG00000232626
TMSB15B	ENSG00000269226
SELPLG	ENSG00000110876
AC234783.1	ENSG00000235946
PPT2-EGFL8	ENSG00000258388
LINC02159	ENSG00000253417
AC104763.2	ENSG00000271626
AC040975.1	ENSG00000242958
CEACAM3	ENSG00000170956
RPL8	ENSG00000161016
AL672296.1	ENSG00000229663
GGPS1	ENSG00000152904
SLC15A3	ENSG00000110446
OR2T35	ENSG00000177151
ADAMDEC1	ENSG00000134028
OTUB2	ENSG00000089723
LINC01010	ENSG00000236700
AP001782.1	ENSG00000254823
AC006463.2	ENSG00000235459
CLMP	ENSG00000166250
AC120193.1	ENSG00000253535
RIBC2	ENSG00000128408
RPS29P15	ENSG00000235926
RPL5	ENSG00000122406
PCDHGA7	ENSG00000253537
ZKSCAN1	ENSG00000106261
CRTAM	ENSG00000109943
OR2L13	ENSG00000196071
AC023141.7	ENSG00000231484
AC023141.6	ENSG00000231232
AC008038.1	ENSG00000283041
CLK3P2	ENSG00000226191
AC023141.9	ENSG00000236907
LINC00672	ENSG00000263874
MTND6P25	ENSG00000255316
AC068305.3	ENSG00000257443
CEACAM5	ENSG00000105388
ARHGEF35	ENSG00000213214
AC112721.1	ENSG00000222022
AP002768.1	ENSG00000254563
AC025034.1	ENSG00000258302
CEACAMP3	ENSG00000239736
DNAJC19P2	ENSG00000269266
PRLR	ENSG00000113494
RECQL4	ENSG00000160957
FJX1	ENSG00000179431
AL138812.1	ENSG00000254686
GLRA4	ENSG00000188828
LINC02201	ENSG00000251538
TMEM31	ENSG00000179363
EIF5B	ENSG00000158417
AC136443.4	ENSG00000261695
LIPT1	ENSG00000144182
AC104809.2	ENSG00000233392
ABCC8	ENSG00000006071
AC008609.1	ENSG00000247699
NRXN2	ENSG00000110076
SLAMF6	ENSG00000162739
ATP6V1G2	ENSG00000206445
AL391832.1	ENSG00000237520
IGHV3-25	ENSG00000253441
OBSCN	ENSG00000154358
PRKDC	ENSG00000253729
THRSP	ENSG00000151365
KCTD14	ENSG00000151364
BCL9	ENSG00000116128
AC008747.1	ENSG00000267024
AC011195.2	ENSG00000266826
IGHV3-21	ENSG00000211947
HEG1	ENSG00000173706
IGHV3-20	ENSG00000211946
AC244517.1	ENSG00000272108
AC244517.6	ENSG00000279068
PIH1D1	ENSG00000104872
C8orf76	ENSG00000189376
PCDHB9	ENSG00000177839
BOD1	ENSG00000145919
IGHV1-14	ENSG00000253709
IGHVIII-13-1	ENSG00000253412
AC073387.1	ENSG00000230192
ENG	ENSG00000106991
AC073071.1	ENSG00000234273
TARBP1	ENSG00000059588
GPR37L1	ENSG00000170075
LYPLAL1-AS1	ENSG00000228063
CRIP1P3	ENSG00000227109
AC096564.2	ENSG00000249604
CICP5	ENSG00000233771
AC004264.3	ENSG00000279699
NBPF17P	ENSG00000179571
AC079209.1	ENSG00000253214
AC022140.1	ENSG00000248605
AC008040.1	ENSG00000239219
AL355526.1	ENSG00000230714
SNRPD2	ENSG00000125743
SLC39A4	ENSG00000147804
LINC01825	ENSG00000223466
FBXO22	ENSG00000167196
AP000769.3	ENSG00000279243
CXorf36	ENSG00000147113
AC108078.2	ENSG00000249686
AL031667.2	ENSG00000235088
RPP21	ENSG00000242726
CKS1BP7	ENSG00000254331
TRIM26BP	ENSG00000235923
HSPB1P2	ENSG00000230216
SORBS2	ENSG00000154556
C11orf68	ENSG00000175573
AC010255.2	ENSG00000249610
AC010255.3	ENSG00000250803
FLNA	ENSG00000196924
RPL23	ENSG00000125691
MFSD4A	ENSG00000174514
MKLN1	ENSG00000128585
AC018638.8	ENSG00000281896
AC090114.1	ENSG00000213280
AC108010.1	ENSG00000242588
MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
IGHD1-26	ENSG00000211907
IGHD7-27	ENSG00000236597
MT-ATP8	ENSG00000228253
IGHJ1	ENSG00000211905
AC010468.1	ENSG00000214784
MT-ATP6	ENSG00000198899
AC140479.6	ENSG00000282785
AC137932.1	ENSG00000260279
IGHJ5	ENSG00000242472
SYNE1	ENSG00000131018
AC123912.1	ENSG00000268081
CPSF1	ENSG00000071894
MT-CO3	ENSG00000198938
AC006270.3	ENSG00000272383
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
AC010615.4	ENSG00000269237
MYL5	ENSG00000215375
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
CREBRF	ENSG00000164463
MT-ND4	ENSG00000198886
AC008739.3	ENSG00000271598
MFSD7	ENSG00000169026
MT-TH	ENSG00000210176
KIF13A	ENSG00000137177
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
AC138894.1	ENSG00000261832
MT-ND5	ENSG00000198786
SHMT1P1	ENSG00000224751
POLR3G	ENSG00000113356
CCDC63	ENSG00000173093
CHAD	ENSG00000136457
SETP16	ENSG00000254621
MT-ND6	ENSG00000198695
VN1R5	ENSG00000197617
MT-TE	ENSG00000210194
AP004609.2	ENSG00000254478
AP004609.3	ENSG00000278376
MT-CYB	ENSG00000198727
ZNF84	ENSG00000198040
FAM83A-AS1	ENSG00000204949
AC068228.2	ENSG00000253258
MT-TT	ENSG00000210195
CLSTN3	ENSG00000139182
MT-TP	ENSG00000210196
AC016831.3	ENSG00000232716
CYP21A2	ENSG00000231852
AC018653.3	ENSG00000256967
MTND4P4	ENSG00000225295
MTND4LP32	ENSG00000283481
GDPD4	ENSG00000178795
PIK3C2G	ENSG00000139144
AC124798.1	ENSG00000260196
MTCO3P10	ENSG00000231537
AP001207.3	ENSG00000254024
AP001207.1	ENSG00000253153
OR52A4P	ENSG00000205494
TNXB	ENSG00000168477
F5	ENSG00000198734
BEX4	ENSG00000102409
AP001330.5	ENSG00000271882
HLA-DQB1-AS1	ENSG00000230414
SASH1	ENSG00000111961
TCAM1P	ENSG00000240280
HLA-DQB1	ENSG00000231939
TAS2R62P	ENSG00000234066
AC074290.1	ENSG00000224219
AC118754.1	ENSG00000229782
PAPPA2	ENSG00000116183
AC074131.1	ENSG00000250831
PTP4A1P7	ENSG00000237514
AC004696.2	ENSG00000279405
AL022329.1	ENSG00000234884
TREH	ENSG00000118094
POMGNT1	ENSG00000085998
MYBBP1A	ENSG00000132382
AL021068.2	ENSG00000234604
PPP1CC	ENSG00000186298
AC146944.3	ENSG00000253333
RAD1	ENSG00000113456
C6orf48	ENSG00000204387
PSMB3	ENSG00000277791
SPNS2	ENSG00000183018
AC040173.1	ENSG00000263257
AC008568.1	ENSG00000229855
OR52S1P	ENSG00000237354
AC146944.2	ENSG00000250687
IQGAP1	ENSG00000140575
AC146944.4	ENSG00000269983
AC007237.1	ENSG00000226230
AC069224.1	ENSG00000260572
TRIM26	ENSG00000137313
FAM72B	ENSG00000188610
SLC25A51P3	ENSG00000254181
ATP6V0E1P3	ENSG00000238038
OTOP3	ENSG00000182938
AC016876.1	ENSG00000233223
AL158207.1	ENSG00000224988
RPS4XP23	ENSG00000239253
AC027601.2	ENSG00000262115
PNLDC1	ENSG00000146453
PTOV1-AS1	ENSG00000268006
GPATCH2	ENSG00000092978
AC005972.3	ENSG00000272164
AC005972.2	ENSG00000270324
AC244453.1	ENSG00000227193
MAGI2	ENSG00000187391
IGHA1	ENSG00000211895
CPNE3	ENSG00000085719
AC024995.1	ENSG00000253945
TAC3	ENSG00000166863
LSM2	ENSG00000204392
SPNS3	ENSG00000182557
MAGI2-AS2	ENSG00000226978
AC004808.1	ENSG00000280958
AC006355.1	ENSG00000229110
AC010445.1	ENSG00000249404
AL122023.1	ENSG00000278396
EPHX4	ENSG00000172031
FAM131B	ENSG00000159784
AC019197.1	ENSG00000236283
AL033504.1	ENSG00000227681
TTC36	ENSG00000172425
SAMD5	ENSG00000203727
BBS9	ENSG00000122507
FBXO36	ENSG00000153832
LRP5	ENSG00000162337
ATF5	ENSG00000169136
AL035696.2	ENSG00000218577
UGT2B25P	ENSG00000215110
KLHL10	ENSG00000161594
AP001267.3	ENSG00000255435
DNM1P49	ENSG00000261820
PCDHA10	ENSG00000250120
MPV17L2	ENSG00000254858
TRIM15	ENSG00000137384
TRIM60P16	ENSG00000229909
AC092447.1	ENSG00000213067
TREML4	ENSG00000188056
AC092447.3	ENSG00000223740
CICP18	ENSG00000217929
NMD3P2	ENSG00000231504
AC092447.8	ENSG00000261275
AC004263.1	ENSG00000240925
AC004263.2	ENSG00000275936
RBM22P3	ENSG00000226485
AC138894.2	ENSG00000270118
PSD	ENSG00000059915
WBP1LP12	ENSG00000271530
AC092423.1	ENSG00000232944
AC093392.2	ENSG00000224370
AC010395.1	ENSG00000248428
FIBP	ENSG00000172500
AC009779.3	ENSG00000258311
TYW3	ENSG00000162623
AL138807.1	ENSG00000215444
AP001619.2	ENSG00000236545
CHMP7	ENSG00000147457
CTSW	ENSG00000172543
AC233992.1	ENSG00000254690
TPM3P4	ENSG00000214869
TREML3P	ENSG00000184106
PHBP15	ENSG00000262648
NCOR1	ENSG00000141027
DGAT1	ENSG00000185000
AC009812.1	ENSG00000251867
MRPL18	ENSG00000112110
PIGL	ENSG00000108474
PNKP	ENSG00000039650
AC022217.1	ENSG00000213386
AC022217.3	ENSG00000253736
AC027808.2	ENSG00000259649
FAM98A	ENSG00000119812
EIF3CL	ENSG00000205609
NEURL1B	ENSG00000214357
ZSWIM7	ENSG00000214941
METTL1	ENSG00000037897
AC025165.3	ENSG00000257921
AC002553.4	ENSG00000275413
AC002553.3	ENSG00000243686
AP001267.2	ENSG00000255384
AHCTF1	ENSG00000153207
ZNF737	ENSG00000237440
PDE8A	ENSG00000073417
AC010636.1	ENSG00000268560
ITGB5	ENSG00000082781
ESRRA	ENSG00000173153
SLC5A8	ENSG00000256870
AC008739.2	ENSG00000269373
TRMT112	ENSG00000173113
AC009779.5	ENSG00000258921
AC006970.2	ENSG00000233028
DPF2	ENSG00000133884
AC004707.1	ENSG00000253102
HCFC2	ENSG00000111727
LRRC59	ENSG00000108829
GIMD1	ENSG00000250298
CHRM1	ENSG00000168539
AC113352.1	ENSG00000248853
AC114284.1	ENSG00000248927
CD44-AS1	ENSG00000255443
AC116353.2	ENSG00000248106
PCGF2	ENSG00000277258
YWHAZ	ENSG00000164924
AP002800.1	ENSG00000280032
CHFR	ENSG00000072609
ARL6	ENSG00000113966
CAPN8	ENSG00000203697
AC127070.3	ENSG00000250790
ZSCAN25	ENSG00000197037
MPZL2	ENSG00000149573
CBY3	ENSG00000204659
ZDHHC16	ENSG00000171307
AC231533.2	ENSG00000233585
AL591471.1	ENSG00000274157
AC091117.2	ENSG00000259418
AC027309.3	ENSG00000280318
LINC01944	ENSG00000254299
GNAS	ENSG00000087460
CNN2P2	ENSG00000227069
AL132655.1	ENSG00000268333
CTSLP4	ENSG00000230011
HSPE1P18	ENSG00000255163
AC019294.4	ENSG00000261043
UBTD2	ENSG00000168246
AL139384.1	ENSG00000274922
MRPL45	ENSG00000277936
ATP11AUN	ENSG00000197595
RPS20P23	ENSG00000242399
NLRP2	ENSG00000022556
SERHL2	ENSG00000183569
LUADT1	ENSG00000196634
AL162311.3	ENSG00000258938
NUTF2P2	ENSG00000258300
AL133304.1	ENSG00000257614
UGT2B11	ENSG00000213759
STXBP5-AS1	ENSG00000233452
AL138916.1	ENSG00000227748
AC111000.1	ENSG00000196472
AL589666.2	ENSG00000280232
IGLVIVOR22-1	ENSG00000271138
AL022324.3	ENSG00000272942
HIST2H2BA	ENSG00000223345
AC111000.6	ENSG00000251427
AC105020.4	ENSG00000260892
NUTM2HP	ENSG00000232706
DUSP21	ENSG00000189037
OR6C4	ENSG00000179626
AC078899.5	ENSG00000276294
BEND3P1	ENSG00000231345
RPSAP61	ENSG00000214016
CSPG4	ENSG00000173546
AC023302.1	ENSG00000271983
NT5E	ENSG00000135318
ACER3	ENSG00000078124
AC111000.3	ENSG00000250100
PRAMEF15	ENSG00000204501
CAPN12	ENSG00000182472
BNIP3P19	ENSG00000271638
HLA-DRB4	ENSG00000227357
GPR182	ENSG00000166856
AC093732.1	ENSG00000233845
AC011476.5	ENSG00000275012
XYLT2	ENSG00000015532
GUK1	ENSG00000143774
TCTN1	ENSG00000204852
AC011476.1	ENSG00000243494
AC010327.3	ENSG00000267577
TMPRSS4	ENSG00000137648
AL022324.2	ENSG00000231466
AL022324.1	ENSG00000230637
BX120007.1	ENSG00000226227
BOP1	ENSG00000261236
SCX	ENSG00000260428
AC241377.1	ENSG00000275296
RDH16	ENSG00000139547
MFSD1P1	ENSG00000261868
U73479.1	ENSG00000275681
CATSPERZ	ENSG00000219435
AC010327.2	ENSG00000267507
YY2	ENSG00000230797
BX120007.2	ENSG00000235228
TNFRSF10A	ENSG00000104689
CAV1	ENSG00000105974
PTPRH	ENSG00000080031
SDR9C7	ENSG00000170426
TM9SF4	ENSG00000101337
AC140479.3	ENSG00000233370
AL049539.1	ENSG00000275576
AC115099.1	ENSG00000263167
OR6C75	ENSG00000187857
C12orf29	ENSG00000133641
AC135782.1	ENSG00000256982
SYT5	ENSG00000129990
AC097467.4	ENSG00000271606
AC097467.2	ENSG00000250398
VARS	ENSG00000204394
TMPRSS13	ENSG00000137747
Z99916.1	ENSG00000236641
AC121758.3	ENSG00000273536
TENM2	ENSG00000145934
AC121758.1	ENSG00000258679
AC008705.1	ENSG00000253947
AC091820.2	ENSG00000254365
AC099676.1	ENSG00000273478
STK10	ENSG00000072786
CRYBB3	ENSG00000100053
AC139497.1	ENSG00000253104
PMCHL1	ENSG00000168967
AL109941.1	ENSG00000216523
FDPSP5	ENSG00000215035
ACKR3	ENSG00000144476
AC113174.1	ENSG00000235386
AP002992.1	ENSG00000255236
AGGF1P2	ENSG00000233435
CDH12	ENSG00000154162
DEFB132	ENSG00000186458
GCNT1P2	ENSG00000249206
OR6C74	ENSG00000197706
OR10A7	ENSG00000179919
FXYD6	ENSG00000137726
AC021205.2	ENSG00000244083
OOSP2	ENSG00000149507
AL110118.2	ENSG00000259066
PECR	ENSG00000115425
AL139246.8	ENSG00000281197
SPIDR	ENSG00000164808
