,DrugBank ID,Drug Name,Drug Type,UniProt ID,Protein Names,Gene Symbol,Length
102,DB00030,Insulin Human,BiotechDrug,P06400,Retinoblastoma-associated protein,RB1,928.0
103,DB00030,Insulin Human,BiotechDrug,P07339,Cathepsin D,CTSD,412.0
104,DB00030,Insulin Human,BiotechDrug,P14735,Insulin-degrading enzyme,IDE,1019.0
105,DB00030,Insulin Human,BiotechDrug,P16519,Neuroendocrine convertase 2,PCSK2,638.0
106,DB00030,Insulin Human,BiotechDrug,P16870,Carboxypeptidase E,CPE,476.0
107,DB00030,Insulin Human,BiotechDrug,P29120,Neuroendocrine convertase 1,PCSK1,753.0
108,DB00030,Insulin Human,BiotechDrug,P48745,Protein NOV homolog,NOV,357.0
109,DB00030,Insulin Human,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2,LRP2,4655.0
110,DB00030,Insulin Human,BiotechDrug,Q16270,Insulin-like growth factor-binding protein 7,IGFBP7,282.0
111,DB00030,Insulin Human,BiotechDrug,Q96C24,Synaptotagmin-like protein 4,SYTL4,671.0
112,DB00031,Tenecteplase,BiotechDrug,P00747,Plasminogen,PLG,810.0
113,DB00031,Tenecteplase,BiotechDrug,P02671,Fibrinogen alpha chain,FGA,866.0
114,DB00031,Tenecteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,335.0
115,DB00031,Tenecteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
116,DB00031,Tenecteplase,BiotechDrug,P05120,Plasminogen activator inhibitor 2,SERPINB2,415.0
117,DB00031,Tenecteplase,BiotechDrug,P05452,Tetranectin,CLEC3B,202.0
118,DB00031,Tenecteplase,BiotechDrug,P05787,"Keratin, type II cytoskeletal 8",KRT8,483.0
119,DB00031,Tenecteplase,BiotechDrug,P07355,Annexin A2,ANXA2,339.0
120,DB00031,Tenecteplase,BiotechDrug,P27797,Calreticulin,CALR,417.0
121,DB00031,Tenecteplase,BiotechDrug,P27824,Calnexin,CANX,592.0
122,DB00031,Tenecteplase,BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1,4544.0
123,DB00032,Menotropins,BiotechDrug,P23945,Follicle-stimulating hormone receptor,FSHR,695.0
124,DB00032,Menotropins,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,699.0
125,DB00033,Interferon gamma-1b,BiotechDrug,P15260,Interferon gamma receptor 1,IFNGR1,489.0
126,DB00033,Interferon gamma-1b,BiotechDrug,P38484,Interferon gamma receptor 2,IFNGR2,337.0
127,DB00034,"Interferon Alfa-2a, Recombinant",BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
128,DB00034,"Interferon Alfa-2a, Recombinant",BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
129,DB00035,Desmopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor,AVPR2,371.0
130,DB00035,Desmopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,AVPR1A,418.0
131,DB00035,Desmopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor,AVPR1B,424.0
132,DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P00742,Coagulation factor X,F10,488.0
133,DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P05981,Serine protease hepsin,HPN,417.0
134,DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P10646,Tissue factor pathway inhibitor,TFPI,304.0
135,DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase,GGCX,758.0
136,DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P08709,Coagulation factor VII,F7,466.0
137,DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P13726,Tissue factor,F3,295.0
138,DB00038,Oprelvekin,BiotechDrug,Q14626,Interleukin-11 receptor subunit alpha,IL11RA,422.0
139,DB00039,Palifermin,BiotechDrug,P21802,Fibroblast growth factor receptor 2,FGFR2,821.0
140,DB00039,Palifermin,BiotechDrug,O14786,Neuropilin-1,NRP1,923.0
141,DB00039,Palifermin,BiotechDrug,P11362,Fibroblast growth factor receptor 1,FGFR1,822.0
142,DB00039,Palifermin,BiotechDrug,P22455,Fibroblast growth factor receptor 4,FGFR4,802.0
143,DB00039,Palifermin,BiotechDrug,P22607,Fibroblast growth factor receptor 3,FGFR3,806.0
144,DB00039,Palifermin,BiotechDrug,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,4391.0
145,DB00040,Glucagon recombinant,BiotechDrug,P47871,Glucagon receptor,GCGR,477.0
146,DB00040,Glucagon recombinant,BiotechDrug,O95838,Glucagon-like peptide 2 receptor,GLP2R,553.0
147,DB00040,Glucagon recombinant,BiotechDrug,P43220,Glucagon-like peptide 1 receptor,GLP1R,463.0
148,DB00041,Aldesleukin,BiotechDrug,P14784,Interleukin-2 receptor subunit beta,IL2RB,551.0
149,DB00041,Aldesleukin,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha,IL2RA,272.0
150,DB00041,Aldesleukin,BiotechDrug,P31785,Cytokine receptor common subunit gamma,IL2RG,369.0
151,DB00042,Botulinum Toxin Type B,BiotechDrug,P63027,Vesicle-associated membrane protein 2,VAMP2,116.0
152,DB00042,Botulinum Toxin Type B,BiotechDrug,P23763,Vesicle-associated membrane protein 1,VAMP1,118.0
153,DB00042,Botulinum Toxin Type B,BiotechDrug,Q8N9I0,Synaptotagmin-2,SYT2,419.0
154,DB00043,Omalizumab,BiotechDrug,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,257.0
155,DB00043,Omalizumab,BiotechDrug,Q01362,High affinity immunoglobulin epsilon receptor subunit beta,MS4A2,244.0
156,DB00044,Lutropin alfa,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,699.0
157,DB00045,OspA lipoprotein,BiotechDrug,O60603,Toll-like receptor 2,TLR2,784.0
158,DB00046,Insulin Lispro,BiotechDrug,P06213,Insulin receptor,INSR,1382.0
159,DB00046,Insulin Lispro,BiotechDrug,P08069,Insulin-like growth factor 1 receptor,IGF1R,1367.0
160,DB00047,Insulin Glargine,BiotechDrug,P06213,Insulin receptor,INSR,1382.0
161,DB00047,Insulin Glargine,BiotechDrug,P08069,Insulin-like growth factor 1 receptor,IGF1R,1367.0
162,DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02452,Collagen alpha-1(I) chain,COL1A1,1464.0
163,DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02458,Collagen alpha-1(II) chain,COL2A1,1487.0
164,DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02461,Collagen alpha-1(III) chain,COL3A1,1466.0
165,DB00048,Collagenase clostridium histolyticum,BiotechDrug,P08123,Collagen alpha-2(I) chain,COL1A2,1366.0
166,DB00050,Cetrorelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,GNRHR,328.0
167,DB00050,Cetrorelix,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,699.0
168,DB00051,Adalimumab,BiotechDrug,P01375,Tumor necrosis factor,TNF,233.0
169,DB00051,Adalimumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,233.0
170,DB00051,Adalimumab,BiotechDrug,P00736,Complement C1r subcomponent,C1R,705.0
171,DB00051,Adalimumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,C1QA,245.0
172,DB00051,Adalimumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,C1QB,253.0
173,DB00051,Adalimumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,C1QC,245.0
174,DB00051,Adalimumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,254.0
175,DB00051,Adalimumab,BiotechDrug,P09871,Complement C1s subcomponent,C1S,688.0
176,DB00051,Adalimumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,374.0
177,DB00051,Adalimumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,317.0
178,DB00051,Adalimumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,310.0
179,DB00051,Adalimumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,323.0
180,DB00052,Somatropin recombinant,BiotechDrug,P10912,Growth hormone receptor,GHR,638.0
181,DB00052,Somatropin recombinant,BiotechDrug,P16471,Prolactin receptor,PRLR,622.0
182,DB00054,Abciximab,BiotechDrug,P05106,Integrin beta-3,ITGB3,788.0
183,DB00054,Abciximab,BiotechDrug,P08514,Integrin alpha-IIb,ITGA2B,1039.0
184,DB00054,Abciximab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,233.0
185,DB00054,Abciximab,BiotechDrug,P00736,Complement C1r subcomponent,C1R,705.0
186,DB00054,Abciximab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,C1QA,245.0
187,DB00054,Abciximab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,C1QB,253.0
188,DB00054,Abciximab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,C1QC,245.0
189,DB00054,Abciximab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,254.0
190,DB00054,Abciximab,BiotechDrug,P09871,Complement C1s subcomponent,C1S,688.0
191,DB00054,Abciximab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,374.0
192,DB00054,Abciximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,317.0
193,DB00054,Abciximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,310.0
194,DB00054,Abciximab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,323.0
195,DB00054,Abciximab,BiotechDrug,P04004,Vitronectin,VTN,478.0
196,DB00055,Drotrecogin alfa,BiotechDrug,P00451,Coagulation factor VIII,F8,2351.0
197,DB00055,Drotrecogin alfa,BiotechDrug,P12259,Coagulation factor V,F5,2224.0
198,DB00055,Drotrecogin alfa,BiotechDrug,P05121,Plasminogen activator inhibitor 1,SERPINE1,402.0
199,DB00055,Drotrecogin alfa,BiotechDrug,P07204,Thrombomodulin,THBD,575.0
200,DB00055,Drotrecogin alfa,BiotechDrug,P07225,Vitamin K-dependent protein S,PROS1,676.0
201,DB00055,Drotrecogin alfa,BiotechDrug,P00450,Ceruloplasmin,CP,1065.0
202,DB00055,Drotrecogin alfa,BiotechDrug,P00734,Prothrombin,F2,622.0
203,DB00055,Drotrecogin alfa,BiotechDrug,P02776,Platelet factor 4,PF4,101.0
204,DB00055,Drotrecogin alfa,BiotechDrug,P05154,Plasma serine protease inhibitor,SERPINA5,406.0
205,DB00055,Drotrecogin alfa,BiotechDrug,P35237,Serpin B6,SERPINB6,376.0
206,DB00055,Drotrecogin alfa,BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase,GGCX,758.0
207,DB00055,Drotrecogin alfa,BiotechDrug,Q9UNN8,Endothelial protein C receptor,PROCR,238.0
208,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P20138,Myeloid cell surface antigen CD33,CD33,364.0
209,DB00056,Gemtuzumab ozogamicin,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,233.0
210,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P00736,Complement C1r subcomponent,C1R,705.0
211,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P02745,Complement C1q subcomponent subunit A,C1QA,245.0
212,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P02746,Complement C1q subcomponent subunit B,C1QB,253.0
213,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P02747,Complement C1q subcomponent subunit C,C1QC,245.0
214,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,254.0
215,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P09871,Complement C1s subcomponent,C1S,688.0
216,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,374.0
217,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,317.0
218,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,310.0
219,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,323.0
220,DB00058,Alpha-1-proteinase inhibitor,BiotechDrug,P08246,Neutrophil elastase,ELANE,267.0
221,DB00060,Interferon beta-1a,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
222,DB00060,Interferon beta-1a,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
223,DB00061,Pegademase bovine,BiotechDrug,P62993,Growth factor receptor-bound protein 2,GRB2,217.0
224,DB00062,Human Serum Albumin,BiotechDrug,P02649,Apolipoprotein E,APOE,317.0
225,DB00062,Human Serum Albumin,BiotechDrug,P0DJI8,Serum amyloid A-1 protein,SAA1,122.0
226,DB00062,Human Serum Albumin,BiotechDrug,P02760,Protein AMBP,AMBP,352.0
227,DB00063,Eptifibatide,BiotechDrug,P05106,Integrin beta-3,ITGB3,788.0
228,DB00064,Serum albumin iodonated,BiotechDrug,P02649,Apolipoprotein E,APOE,317.0
229,DB00064,Serum albumin iodonated,BiotechDrug,P0DJI8,Serum amyloid A-1 protein,SAA1,122.0
230,DB00064,Serum albumin iodonated,BiotechDrug,P02760,Protein AMBP,AMBP,352.0
231,DB00065,Infliximab,BiotechDrug,P01375,Tumor necrosis factor,TNF,233.0
232,DB00066,Follitropin beta,BiotechDrug,P23945,Follicle-stimulating hormone receptor,FSHR,695.0
233,DB00067,Vasopressin,BiotechDrug,P30518,Vasopressin V2 receptor,AVPR2,371.0
234,DB00067,Vasopressin,BiotechDrug,P37288,Vasopressin V1a receptor,AVPR1A,418.0
235,DB00067,Vasopressin,BiotechDrug,P47901,Vasopressin V1b receptor,AVPR1B,424.0
236,DB00068,Interferon beta-1b,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
237,DB00068,Interferon beta-1b,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
238,DB00069,Interferon alfacon-1,BiotechDrug,P17181,Interferon alpha/beta receptor 1,IFNAR1,557.0
239,DB00069,Interferon alfacon-1,BiotechDrug,P48551,Interferon alpha/beta receptor 2,IFNAR2,515.0
240,DB00070,Hyaluronidase,BiotechDrug,P01137,Transforming growth factor beta-1,TGFB1,390.0
241,DB00071,Insulin Pork,BiotechDrug,P06213,Insulin receptor,INSR,1382.0
242,DB00071,Insulin Pork,BiotechDrug,P08069,Insulin-like growth factor 1 receptor,IGF1R,1367.0
243,DB00071,Insulin Pork,BiotechDrug,P14735,Insulin-degrading enzyme,IDE,1019.0
244,DB00071,Insulin Pork,BiotechDrug,P01906,"HLA class II histocompatibility antigen, DQ alpha 2 chain",HLA-DQA2,255.0
245,DB00071,Insulin Pork,BiotechDrug,P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain",HLA-DQB1,261.0
246,DB00071,Insulin Pork,BiotechDrug,P06400,Retinoblastoma-associated protein,RB1,928.0
247,DB00071,Insulin Pork,BiotechDrug,P07339,Cathepsin D,CTSD,412.0
248,DB00071,Insulin Pork,BiotechDrug,P16870,Carboxypeptidase E,CPE,476.0
249,DB00071,Insulin Pork,BiotechDrug,P16519,Neuroendocrine convertase 2,PCSK2,638.0
250,DB00071,Insulin Pork,BiotechDrug,P29120,Neuroendocrine convertase 1,PCSK1,753.0
251,DB00071,Insulin Pork,BiotechDrug,P48745,Protein NOV homolog,NOV,357.0
252,DB00071,Insulin Pork,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2,LRP2,4655.0
253,DB00071,Insulin Pork,BiotechDrug,Q16270,Insulin-like growth factor-binding protein 7,IGFBP7,282.0
254,DB00071,Insulin Pork,BiotechDrug,Q96C24,Synaptotagmin-like protein 4,SYTL4,671.0
255,DB00072,Trastuzumab,BiotechDrug,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2,1255.0
256,DB00072,Trastuzumab,BiotechDrug,P00533,Epidermal growth factor receptor,EGFR,1210.0
257,DB00072,Trastuzumab,BiotechDrug,P00736,Complement C1r subcomponent,C1R,705.0
